date,symbol,decision
2022-05-12,RELIANCE,EXIT
2022-05-13,BAJAJ-AUTO,REDUCE
2022-05-13,BHARTIARTL,EXIT
2022-05-16,BAJAJ-AUTO,HOLD
2022-05-16,EICHERMOT,REDUCE
2022-05-16,MAXHEALTH,REDUCE
2022-05-17,M&M,HOLD
2022-05-17,MAXHEALTH,EXIT
2022-05-18,MARUTI,REDUCE
2022-05-19,MARUTI,EXIT
2022-05-19,MAXHEALTH,REDUCE
2022-05-20,MARUTI,REDUCE
2022-05-20,MAXHEALTH,EXIT
2022-05-20,RELIANCE,REDUCE
2022-05-23,ASIANPAINT,REDUCE
2022-05-23,HINDUNILVR,REDUCE
2022-05-23,MARUTI,HOLD
2022-05-23,MAXHEALTH,REDUCE
2022-05-23,RELIANCE,HOLD
2022-05-24,ASIANPAINT,EXIT
2022-05-24,HINDUNILVR,EXIT
2022-05-24,KOTAKBANK,REDUCE
2022-05-24,MAXHEALTH,EXIT
2022-05-27,MAXHEALTH,REDUCE
2022-05-30,COALINDIA,REDUCE
2022-05-30,ICICIBANK,REDUCE
2022-05-30,MAXHEALTH,EXIT
2022-05-31,COALINDIA,HOLD
2022-05-31,KOTAKBANK,EXIT
2022-05-31,MAXHEALTH,REDUCE
2022-05-31,SBILIFE,REDUCE
2022-05-31,SUNPHARMA,REDUCE
2022-06-01,MAXHEALTH,EXIT
2022-06-02,MAXHEALTH,REDUCE
2022-06-02,SBILIFE,EXIT
2022-06-03,MAXHEALTH,EXIT
2022-06-07,ICICIBANK,EXIT
2022-06-09,SBILIFE,REDUCE
2022-06-10,ONGC,REDUCE
2022-06-13,SBILIFE,EXIT
2022-06-13,SUNPHARMA,EXIT
2022-06-14,ONGC,EXIT
2022-06-17,EICHERMOT,EXIT
2022-06-20,EICHERMOT,REDUCE
2022-06-20,NTPC,EXIT
2022-06-20,POWERGRID,EXIT
2022-06-22,RELIANCE,EXIT
2022-06-23,EICHERMOT,HOLD
2022-06-24,HINDUNILVR,REDUCE
2022-06-27,HINDUNILVR,EXIT
2022-06-27,MAXHEALTH,REDUCE
2022-06-28,HINDUNILVR,REDUCE
2022-06-28,MAXHEALTH,EXIT
2022-06-29,HINDUNILVR,EXIT
2022-06-30,SHRIRAMFIN,REDUCE
2022-07-01,COALINDIA,REDUCE
2022-07-01,SHRIRAMFIN,EXIT
2022-07-04,HINDUNILVR,REDUCE
2022-07-04,SHRIRAMFIN,REDUCE
2022-07-05,SHRIRAMFIN,EXIT
2022-07-06,NESTLEIND,REDUCE
2022-07-06,SHRIRAMFIN,REDUCE
2022-07-06,SBIN,REDUCE
2022-07-06,TRENT,REDUCE
2022-07-07,COALINDIA,HOLD
2022-07-07,ICICIBANK,REDUCE
2022-07-08,SBILIFE,REDUCE
2022-07-08,TATACONSUM,REDUCE
2022-07-11,DRREDDY,REDUCE
2022-07-13,CIPLA,REDUCE
2022-07-13,MAXHEALTH,REDUCE
2022-07-13,SUNPHARMA,REDUCE
2022-07-14,CIPLA,HOLD
2022-07-14,SUNPHARMA,HOLD
2022-07-18,HINDUNILVR,HOLD
2022-07-21,ADANIPORTS,REDUCE
2022-07-21,LT,REDUCE
2022-07-22,AXISBANK,REDUCE
2022-07-26,ASIANPAINT,REDUCE
2022-07-27,TRENT,HOLD
2022-07-28,BAJFINANCE,REDUCE
2022-08-01,HDFCBANK,REDUCE
2022-08-01,JSWSTEEL,REDUCE
2022-08-01,TITAN,REDUCE
2022-08-02,INDIGO,REDUCE
2022-08-02,NTPC,REDUCE
2022-08-02,TATACONSUM,HOLD
2022-08-03,SBILIFE,HOLD
2022-08-05,ULTRACEMCO,REDUCE
2022-08-08,BAJAJFINSV,REDUCE
2022-08-10,APOLLOHOSP,REDUCE
2022-08-10,GRASIM,REDUCE
2022-08-10,ICICIBANK,HOLD
2022-08-11,SHRIRAMFIN,HOLD
2022-08-12,SBIN,HOLD
2022-08-12,TATASTEEL,REDUCE
2022-08-18,NESTLEIND,HOLD
2022-08-19,BHARTIARTL,REDUCE
2022-08-25,ADANIPORTS,HOLD
2022-08-29,NTPC,HOLD
2022-08-30,ASIANPAINT,HOLD
2022-09-06,LT,HOLD
2022-09-08,AXISBANK,HOLD
2022-09-09,KOTAKBANK,REDUCE
2022-09-12,BAJFINANCE,HOLD
2022-09-12,KOTAKBANK,HOLD
2022-09-13,JSWSTEEL,HOLD
2022-09-13,TITAN,HOLD
2022-09-14,BHARTIARTL,HOLD
2022-09-15,MAXHEALTH,HOLD
2022-09-19,BAJAJFINSV,HOLD
2022-09-19,GRASIM,HOLD
2022-10-20,DRREDDY,HOLD
2022-10-21,HCLTECH,REDUCE
2022-10-28,POWERGRID,REDUCE
2022-10-31,POWERGRID,HOLD
2022-11-07,ULTRACEMCO,HOLD
2022-11-11,HDFCBANK,HOLD
2022-11-11,INFY,REDUCE
2022-11-14,HINDALCO,REDUCE
2022-11-16,TCS,REDUCE
2022-11-24,ONGC,REDUCE
2022-11-28,HDFCLIFE,REDUCE
2022-11-28,RELIANCE,REDUCE
2022-12-01,HCLTECH,HOLD
2022-12-02,APOLLOHOSP,HOLD
2022-12-12,RELIANCE,HOLD
2022-12-15,INDIGO,HOLD
2022-12-21,HDFCLIFE,HOLD
2022-12-30,TATASTEEL,HOLD
2023-01-03,ONGC,HOLD
2023-01-16,TCS,HOLD
2023-01-23,TECHM,REDUCE
2023-02-08,INFY,HOLD
2023-02-17,ETERNAL,EXIT
2023-03-22,ADANIENT,EXIT
2023-03-22,ADANIPORTS,EXIT
2023-03-22,APOLLOHOSP,EXIT
2023-03-22,ASIANPAINT,EXIT
2023-03-22,AXISBANK,REDUCE
2023-03-22,BAJFINANCE,EXIT
2023-03-22,BAJAJFINSV,EXIT
2023-03-22,BEL,EXIT
2023-03-22,BHARTIARTL,EXIT
2023-03-22,CIPLA,EXIT
2023-03-22,EICHERMOT,EXIT
2023-03-22,GRASIM,EXIT
2023-03-22,HDFCLIFE,EXIT
2023-03-22,HINDALCO,EXIT
2023-03-22,HINDUNILVR,EXIT
2023-03-22,ICICIBANK,REDUCE
2023-03-22,INFY,EXIT
2023-03-22,INDIGO,EXIT
2023-03-22,JSWSTEEL,EXIT
2023-03-22,KOTAKBANK,EXIT
2023-03-22,M&M,EXIT
2023-03-22,MARUTI,EXIT
2023-03-22,NESTLEIND,EXIT
2023-03-22,RELIANCE,EXIT
2023-03-22,SBILIFE,EXIT
2023-03-22,SHRIRAMFIN,EXIT
2023-03-22,SBIN,EXIT
2023-03-22,SUNPHARMA,REDUCE
2023-03-22,TCS,EXIT
2023-03-22,TATACONSUM,EXIT
2023-03-22,TATASTEEL,EXIT
2023-03-22,TITAN,REDUCE
2023-03-22,TRENT,REDUCE
2023-03-23,ICICIBANK,HOLD
2023-03-23,TECHM,EXIT
2023-03-24,TECHM,REDUCE
2023-03-24,TRENT,EXIT
2023-03-27,GRASIM,REDUCE
2023-03-27,ICICIBANK,EXIT
2023-03-27,TECHM,EXIT
2023-03-27,TRENT,REDUCE
2023-03-28,GRASIM,EXIT
2023-03-28,ICICIBANK,REDUCE
2023-03-28,TRENT,EXIT
2023-03-29,APOLLOHOSP,REDUCE
2023-03-29,GRASIM,REDUCE
2023-03-29,ICICIBANK,EXIT
2023-03-29,SUNPHARMA,HOLD
2023-03-29,TECHM,REDUCE
2023-03-29,TRENT,REDUCE
2023-03-31,APOLLOHOSP,EXIT
2023-03-31,BEL,REDUCE
2023-03-31,HINDUNILVR,REDUCE
2023-03-31,ICICIBANK,REDUCE
2023-03-31,NESTLEIND,REDUCE
2023-03-31,TECHM,EXIT
2023-04-03,HINDUNILVR,EXIT
2023-04-03,SHRIRAMFIN,REDUCE
2023-04-03,TECHM,REDUCE
2023-04-05,HINDUNILVR,REDUCE
2023-04-10,BHARTIARTL,REDUCE
2023-04-11,BHARTIARTL,HOLD
2023-04-11,JSWSTEEL,REDUCE
2023-04-11,KOTAKBANK,REDUCE
2023-04-12,JSWSTEEL,HOLD
2023-04-13,APOLLOHOSP,REDUCE
2023-04-17,APOLLOHOSP,HOLD
2023-04-19,AXISBANK,HOLD
2023-04-24,HDFCLIFE,REDUCE
2023-04-24,SBIN,REDUCE
2023-04-28,EICHERMOT,REDUCE
2023-05-02,HINDALCO,REDUCE
2023-05-02,TATACONSUM,REDUCE
2023-05-03,INDIGO,REDUCE
2023-05-03,NESTLEIND,HOLD
2023-05-05,MARUTI,REDUCE
2023-05-08,BAJFINANCE,REDUCE
2023-05-10,INDIGO,HOLD
2023-05-11,ASIANPAINT,REDUCE
2023-05-12,ICICIBANK,HOLD
2023-05-12,SHRIRAMFIN,HOLD
2023-05-15,TITAN,HOLD
2023-05-16,TRENT,HOLD
2023-05-24,BEL,HOLD
2023-05-26,KOTAKBANK,HOLD
2023-05-26,RELIANCE,REDUCE
2023-05-29,GRASIM,HOLD
2023-05-29,M&M,REDUCE
2023-05-29,SBILIFE,REDUCE
