,equity,benchmark
2021-07-23,1055277.833313415,1128168.7983364675
2021-07-26,1057217.2263450823,1127187.8918826329
2021-07-27,1055540.0760746184,1121846.6767386799
2021-07-28,1056387.5249224359,1119279.142424059
2021-07-29,1059644.4745190707,1124603.8561874903
2021-07-30,1059823.6252511286,1126293.5975529016
2021-08-02,1060162.9677445446,1136139.367601093
2021-08-03,1062233.3495538458,1148956.674055797
2021-08-04,1061400.0566117591,1151441.7819623488
2021-08-05,1061454.3367306541,1152447.4002396965
2021-08-06,1061324.025925937,1150230.1781593682
2021-08-09,1061224.104448548,1148614.5722644955
2021-08-10,1060497.8925928716,1145127.9513020916
2021-08-11,1061989.7508480104,1143792.6273924687
2021-08-12,1064515.4132511923,1151656.1389200513
2021-08-13,1065648.2474552197,1159350.6119154617
2021-08-16,1068315.2800291053,1159803.9571598403
2021-08-17,1072765.6703833884,1163290.5781222442
2021-08-18,1072400.8379471886,1161844.0107595439
2021-08-20,1069043.2774865087,1149348.199494124
2021-08-23,1069312.6122264909,1148243.653428186
2021-08-24,1073909.8108994956,1159181.6538778283
2021-08-25,1072141.1387896582,1161683.2631649019
2021-08-26,1071894.3503922024,1162783.7040093443
2021-08-27,1074203.458547619,1169835.2671207255
2021-08-30,1078160.598982329,1186765.6835358804
2021-08-31,1083203.624475836,1199788.9755162175
2021-09-01,1081546.786585246,1199413.8709638729
2021-09-02,1083523.362985128,1210376.5832370282
2021-09-03,1084542.5287575675,1216554.4586206954
2021-09-06,1085413.0428875007,1220391.3918173919
2021-09-07,1084111.0269961786,1218611.0136009208
2021-09-08,1083551.102343427,1220205.932399237
2021-09-09,1083103.773233845,1222913.6882010219
2021-09-13,1084595.151209338,1224211.904128106
2021-09-14,1084850.258310072,1228510.3930121723
2021-09-15,1086086.2865119579,1238088.357728679
2021-09-16,1085564.437269524,1245041.073546009
2021-09-17,1083249.1923676678,1238640.630761648
2021-09-20,1078889.0784185948,1222114.1359438463
2021-09-21,1081361.1406443254,1231968.196929568
2021-09-22,1082055.7507013865,1235615.565486614
2021-09-23,1085807.0093688418,1253329.0327784226
2021-09-24,1084919.4808362888,1252216.2762694934
2021-09-27,1082250.8288572712,1251977.2074882782
2021-09-28,1080705.1765220473,1244274.4435553374
2021-09-29,1081328.2956692337,1243561.5034222654
2021-09-30,1082109.611625139,1240734.293724412
2021-10-01,1080018.2749487795,1237544.3756332404
2021-10-04,1082471.8828856866,1251326.0871612579
2021-10-05,1083015.5330485308,1259482.0353494987
2021-10-06,1079499.0567370413,1247484.9682485266
2021-10-07,1080600.5698754224,1260310.485146222
2021-10-08,1080804.664358171,1266496.5709728803
2021-10-11,1080992.8886060219,1271672.9333006954
2021-10-12,1081631.9258598115,1276115.7488934214
2021-10-13,1082637.7339648176,1288438.4968997124
2021-10-14,1084613.8831361143,1299800.945054186
2021-10-18,1085452.319759653,1309436.6243552486
2021-10-19,1085446.5006056023,1298861.2518043856
2021-10-20,1082152.3336188192,1283266.239793393
2021-10-21,1081247.2740940335,1276589.7007398172
2021-10-22,1079836.9580743967,1269340.2820512552
2021-10-25,1077684.4983645575,1263953.6679872333
2021-10-26,1078561.586271757,1277578.8176366433
2021-10-27,1078159.9549795606,1276317.6291975586
2021-10-28,1076408.3966940367,1252125.558923894
2021-10-29,1075178.228841458,1243557.39820077
2021-11-01,1076091.8272734394,1261344.9204685779
2021-11-02,1075877.983558686,1262329.9321439085
2021-11-03,1075829.4255944265,1259700.497528697
2021-11-04,1076260.7873219228,1267460.9760461934
2021-11-08,1078958.228479178,1279268.5590020544
2021-11-09,1078648.9430853166,1281065.4385990473
2021-11-10,1078925.0279860927,1279346.7996940885
