date,symbol,side,shares,price,reason
2021-04-22,MARUTI,BUY,3.1493283814118533,6350.560366472149,INIT
2021-04-22,MAXHEALTH,BUY,84.82603726884695,235.77666296743493,INIT
2021-04-22,NTPC,BUY,244.73141068888228,81.72224375981405,INIT
2021-04-22,NESTLEIND,BUY,24.611751002233966,812.6199553288442,INIT
2021-04-22,ONGC,BUY,266.8509383862595,74.94820936717315,INIT
2021-04-22,POWERGRID,BUY,225.49489810327023,88.69380269011927,INIT
2021-04-22,RELIANCE,BUY,23.30987811996287,858.0053442180699,INIT
2021-04-22,SBILIFE,BUY,22.429618109548915,891.678133007777,INIT
2021-04-22,SHRIRAMFIN,BUY,82.75900887042151,241.66553313023184,INIT
2021-04-22,SBIN,BUY,66.48812130942525,300.805611680967,INIT
2021-04-22,SUNPHARMA,BUY,32.29261481832392,619.3366536751098,INIT
2021-04-22,TCS,BUY,7.227171682538475,2767.3342876746483,INIT
2021-04-22,TATACONSUM,BUY,30.540747711267,654.8628143973588,INIT
2021-04-22,TATASTEEL,BUY,258.1488838451495,77.47467160073793,INIT
2021-04-22,TECHM,BUY,24.47422129524141,817.1863675960409,INIT
2021-04-22,TITAN,BUY,13.275211695034105,1506.5673120287381,INIT
2021-04-22,TRENT,BUY,27.475483924168568,727.9216648266994,INIT
2021-04-22,ULTRACEMCO,BUY,3.316404276743753,6030.627852053433,INIT
2021-04-22,WIPRO,BUY,91.80399881751084,217.8554339420035,INIT
2021-04-23,ASIANPAINT,SELL,8.175963587639707,2418.867387384859,EXIT
2021-04-23,AXISBANK,SELL,31.331525338556602,653.2723816339767,EXIT
2021-04-23,BAJAJ-AUTO,SELL,6.362164393879529,3218.0901016848197,EXIT
2021-04-23,BAJFINANCE,SELL,44.87309889369498,452.6660263753332,EXIT
2021-04-23,BEL,SELL,520.6254264561388,39.27351310630229,EXIT
2021-04-23,BHARTIARTL,SELL,39.33488894286605,507.4951334210851,EXIT
2021-04-23,COALINDIA,SELL,243.1784557707619,82.44206214315463,EXIT
2021-04-23,DRREDDY,SELL,19.92163671840474,1013.246171209001,EXIT
2021-04-23,EICHERMOT,SELL,9.015612134939227,2202.35701843966,EXIT
2021-04-23,HDFCBANK,SELL,30.60204154009332,667.2852542707776,EXIT
2021-04-23,HDFCLIFE,SELL,15.108716635104782,668.7641206997714,REDUCE
2021-04-23,HINDUNILVR,SELL,9.099772816077223,2151.876758256825,EXIT
2021-04-23,ICICIBANK,SELL,37.46107181935771,551.2002486168636,EXIT
2021-04-23,ITC,SELL,62.97441370552798,160.56340992860788,REDUCE
2021-04-23,INDIGO,SELL,13.1801300141897,1546.6862838046345,EXIT
2021-04-23,KOTAKBANK,SELL,59.42759023742768,345.3372857413837,EXIT
2021-04-23,LT,SELL,16.088620222711647,1262.0935478057656,EXIT
2021-04-23,M&M,SELL,26.37035959372909,759.3813296609195,EXIT
2021-04-23,MARUTI,SELL,3.1493283814118533,6287.351266795113,EXIT
2021-04-23,MAXHEALTH,SELL,42.41301863442347,226.96676140100772,REDUCE
2021-04-23,NTPC,SELL,244.73141068888228,81.68057039152221,EXIT
2021-04-23,NESTLEIND,SELL,24.611751002233966,793.4742498461611,EXIT
2021-04-23,ONGC,SELL,266.8509383862595,74.65545930481763,EXIT
2021-04-23,RELIANCE,SELL,23.30987811996287,864.2400438171045,EXIT
2021-04-23,SHRIRAMFIN,SELL,82.75900887042151,241.097241636705,EXIT
2021-04-23,SBIN,SELL,66.48812130942525,306.0189416609871,EXIT
2021-04-23,TCS,SELL,3.6135858412692374,2729.5336560747555,REDUCE
2021-04-23,TITAN,SELL,6.637605847517053,1455.363715501531,REDUCE
2021-04-23,TRENT,SELL,27.475483924168568,743.0410866524122,EXIT
2021-04-23,ULTRACEMCO,SELL,1.6582021383718766,5929.388733569222,REDUCE
2021-04-27,HCLTECH,SELL,12.66269593983439,761.108206132126,REDUCE
2021-04-27,TECHM,SELL,12.237110647620705,808.0375172672373,REDUCE
2021-04-28,HDFCLIFE,SELL,7.554358317552391,672.2113534287766,REDUCE
2021-05-05,TITAN,SELL,3.3188029237585264,1384.4664795047247,REDUCE
2021-08-24,ADANIENT,SELL,17.67952659936924,1404.4937069860928,EXIT
